Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.1,2.8,4.7,1.2,Iris-versicolor
2,5.7,3.8,1.7,0.3,Iris-setosa
3,7.7,2.6,6.9,2.3,Iris-virginica
4,6.0,2.9,4.5,1.5,Iris-versicolor
5,6.8,2.8,4.8,1.4,Iris-versicolor
6,5.4,3.4,1.5,0.4,Iris-setosa
7,5.6,2.9,3.6,1.3,Iris-versicolor
8,6.9,3.1,5.1,2.3,Iris-virginica
9,6.2,2.2,4.5,1.5,Iris-versicolor
10,5.8,2.7,3.9,1.2,Iris-versicolor
11,6.5,3.2,5.1,2.0,Iris-virginica
12,4.8,3.0,1.4,0.1,Iris-setosa
13,5.5,3.5,1.3,0.2,Iris-setosa
14,4.9,3.1,1.5,0.1,Iris-setosa
15,5.1,3.8,1.5,0.3,Iris-setosa
16,6.3,3.3,4.7,1.6,Iris-versicolor
17,6.5,3.0,5.8,2.2,Iris-virginica
18,5.6,2.5,3.9,1.1,Iris-versicolor
19,5.7,2.8,4.5,1.3,Iris-versicolor
20,6.4,2.8,5.6,2.2,Iris-virginica
21,4.7,3.2,1.6,0.2,Iris-setosa
22,6.1,3.0,4.9,1.8,Iris-virginica
23,5.0,3.4,1.6,0.4,Iris-setosa
24,6.4,2.8,5.6,2.1,Iris-virginica
25,7.9,3.8,6.4,2.0,Iris-virginica
26,6.7,3.0,5.2,2.3,Iris-virginica
27,6.7,2.5,5.8,1.8,Iris-virginica
28,6.8,3.2,5.9,2.3,Iris-virginica
29,4.8,3.0,1.4,0.3,Iris-setosa
30,4.8,3.1,1.6,0.2,Iris-setosa
31,4.6,3.6,1.0,0.2,Iris-setosa
32,5.7,4.4,1.5,0.4,Iris-setosa
33,6.7,3.1,4.4,1.4,Iris-versicolor
34,4.8,3.4,1.6,0.2,Iris-setosa
35,4.4,3.2,1.3,0.2,Iris-setosa
36,6.3,2.5,5.0,1.9,Iris-virginica
37,6.4,3.2,4.5,1.5,Iris-versicolor
38,5.2,3.5,1.5,0.2,Iris-setosa
39,5.0,3.6,1.4,0.2,Iris-setosa
40,5.2,4.1,1.5,0.1,Iris-setosa
41,5.8,2.7,5.1,1.9,Iris-virginica
42,6.0,3.4,4.5,1.6,Iris-versicolor
43,6.7,3.1,4.7,1.5,Iris-versicolor
44,5.4,3.9,1.3,0.4,Iris-setosa
45,5.4,3.7,1.5,0.2,Iris-setosa
46,5.5,2.4,3.7,1.0,Iris-versicolor
47,6.3,2.8,5.1,1.5,Iris-virginica
48,6.4,3.1,5.5,1.8,Iris-virginica
49,6.6,3.0,4.4,1.4,Iris-versicolor
50,7.2,3.6,6.1,2.5,Iris-virginica
51,5.7,2.9,4.2,1.3,Iris-versicolor
52,7.6,3.0,6.6,2.1,Iris-virginica
53,5.6,3.0,4.5,1.5,Iris-versicolor
54,5.1,3.5,1.4,0.2,Iris-setosa
55,7.7,2.8,6.7,2.0,Iris-virginica
56,5.8,2.7,4.1,1.0,Iris-versicolor
57,5.2,3.4,1.4,0.2,Iris-setosa
58,5.0,3.5,1.3,0.3,Iris-setosa
59,5.1,3.8,1.9,0.4,Iris-setosa
60,5.0,2.0,3.5,1.0,Iris-versicolor
61,6.3,2.7,4.9,1.8,Iris-virginica
62,4.8,3.4,1.9,0.2,Iris-setosa
63,5.0,3.0,1.6,0.2,Iris-setosa
64,5.1,3.3,1.7,0.5,Iris-setosa
65,5.6,2.7,4.2,1.3,Iris-versicolor
66,5.1,3.4,1.5,0.2,Iris-setosa
67,5.7,3.0,4.2,1.2,Iris-versicolor
68,7.7,3.8,6.7,2.2,Iris-virginica
69,4.6,3.2,1.4,0.2,Iris-setosa
70,6.2,2.9,4.3,1.3,Iris-versicolor
71,5.7,2.5,5.0,2.0,Iris-virginica
72,5.5,4.2,1.4,0.2,Iris-setosa
73,6.0,3.0,4.8,1.8,Iris-virginica
74,5.8,2.7,5.1,1.9,Iris-virginica
75,6.0,2.2,4.0,1.0,Iris-versicolor
76,5.4,3.0,4.5,1.5,Iris-versicolor
77,6.2,3.4,5.4,2.3,Iris-virginica
78,5.5,2.3,4.0,1.3,Iris-versicolor
79,5.4,3.9,1.7,0.4,Iris-setosa
80,5.0,2.3,3.3,1.0,Iris-versicolor
81,6.4,2.7,5.3,1.9,Iris-virginica
82,5.0,3.3,1.4,0.2,Iris-setosa
83,5.0,3.2,1.2,0.2,Iris-setosa
84,5.5,2.4,3.8,1.1,Iris-versicolor
85,6.7,3.0,5.0,1.7,Iris-versicolor
86,4.9,3.1,1.5,0.1,Iris-setosa
87,5.8,2.8,5.1,2.4,Iris-virginica
88,5.0,3.4,1.5,0.2,Iris-setosa
89,5.0,3.5,1.6,0.6,Iris-setosa
90,5.9,3.2,4.8,1.8,Iris-versicolor
91,5.1,2.5,3.0,1.1,Iris-versicolor
92,6.9,3.2,5.7,2.3,Iris-virginica
93,6.0,2.7,5.1,1.6,Iris-versicolor
94,6.1,2.6,5.6,1.4,Iris-virginica
95,7.7,3.0,6.1,2.3,Iris-virginica
96,5.5,2.5,4.0,1.3,Iris-versicolor
97,4.4,2.9,1.4,0.2,Iris-setosa
98,4.3,3.0,1.1,0.1,Iris-setosa
99,6.0,2.2,5.0,1.5,Iris-virginica
100,7.2,3.2,6.0,1.8,Iris-virginica
101,4.6,3.1,1.5,0.2,Iris-setosa
102,5.1,3.5,1.4,0.3,Iris-setosa
103,4.4,3.0,1.3,0.2,Iris-setosa
104,6.3,2.5,4.9,1.5,Iris-versicolor
105,6.3,3.4,5.6,2.4,Iris-virginica
106,4.6,3.4,1.4,0.3,Iris-setosa
107,6.8,3.0,5.5,2.1,Iris-virginica
108,6.3,3.3,6.0,2.5,Iris-virginica
109,4.7,3.2,1.3,0.2,Iris-setosa
110,6.1,2.9,4.7,1.4,Iris-versicolor
111,6.5,2.8,4.6,1.5,Iris-versicolor
112,6.2,2.8,4.8,1.8,Iris-virginica
113,7.0,3.2,4.7,1.4,Iris-versicolor
114,6.4,3.2,5.3,2.3,Iris-virginica
115,5.1,3.8,1.6,0.2,Iris-setosa
116,6.9,3.1,5.4,2.1,Iris-virginica
117,5.9,3.0,4.2,1.5,Iris-versicolor
118,6.5,3.0,5.2,2.0,Iris-virginica
119,5.7,2.6,3.5,1.0,Iris-versicolor
120,5.2,2.7,3.9,1.4,Iris-versicolor
121,6.1,3.0,4.6,1.4,Iris-versicolor
122,4.5,2.3,1.3,0.3,Iris-setosa
123,6.6,2.9,4.6,1.3,Iris-versicolor
124,5.5,2.6,4.4,1.2,Iris-versicolor
125,5.3,3.7,1.5,0.2,Iris-setosa
126,5.6,3.0,4.1,1.3,Iris-versicolor
127,7.3,2.9,6.3,1.8,Iris-virginica
128,6.7,3.3,5.7,2.1,Iris-virginica
129,5.1,3.7,1.5,0.4,Iris-setosa
130,4.9,2.4,3.3,1.0,Iris-versicolor
131,6.7,3.3,5.7,2.5,Iris-virginica
132,7.2,3.0,5.8,1.6,Iris-virginica
133,4.9,3.1,1.5,0.1,Iris-setosa
134,6.7,3.1,5.6,2.4,Iris-virginica
135,4.9,3.0,1.4,0.2,Iris-setosa
136,6.9,3.1,4.9,1.5,Iris-versicolor
137,7.4,2.8,6.1,1.9,Iris-virginica
138,6.3,2.9,5.6,1.8,Iris-virginica
139,5.7,2.8,4.1,1.3,Iris-versicolor
140,6.5,3.0,5.5,1.8,Iris-virginica
141,6.3,2.3,4.4,1.3,Iris-versicolor
142,6.4,2.9,4.3,1.3,Iris-versicolor
143,5.6,2.8,4.9,2.0,Iris-virginica
144,5.9,3.0,5.1,1.8,Iris-virginica
145,5.4,3.4,1.7,0.2,Iris-setosa
146,6.1,2.8,4.0,1.3,Iris-versicolor
147,4.9,2.5,4.5,1.7,Iris-virginica
148,5.8,4.0,1.2,0.2,Iris-setosa
149,5.8,2.6,4.0,1.2,Iris-versicolor
150,7.1,3.0,5.9,2.1,Iris-virginica
