month	city	Temp
1	Istanbul	6°C
2	Istanbul	6°C
3	Istanbul	8°C
4	Istanbul	12°C
5	Istanbul	17°C
6	Istanbul	22°C
7	Istanbul	25°C
8	Istanbul	25°C
9	Istanbul	21°C
10	Istanbul	17°C
11	Istanbul	12°C
12	Istanbul	8°C
1	Izmir	7°C
2	Izmir	8°C
3	Izmir	11°C
4	Izmir	15°C
5	Izmir	20°C
6	Izmir	25°C
7	Izmir	28°C
8	Izmir	28°C
9	Izmir	23°C
10	Izmir	18°C
11	Izmir	13°C
12	Izmir	9°C
1	London	6°C
2	London	6°C
3	London	8°C
4	London	11°C
5	London	14°C
6	London	17°C
7	London	19°C
8	London	19°C
9	London	16°C
10	London	13°C
11	London	9°C
12	London	7°C
